날짜,지점,매출,방문자수
2024-05-02,홍대,1057,121
2024-05-03,강남,1032,115
2024-05-04,부산,1478,148
2024-05-05,부산,1503,150
2024-05-06,강남,1257,110
2024-05-07,강남,1098,94
2024-05-08,강남,1294,112
2024-05-09,부산,1074,116
2024-05-10,강남,1176,107
2024-05-11,부산,1348,143
2024-05-12,홍대,1363,146
2024-05-13,부산,1133,116
2024-05-14,부산,1281,116
2024-05-15,홍대,1022,84
2024-05-16,부산,1100,120
2024-05-17,강남,1034,122
2024-05-18,강남,1573,173
2024-05-19,부산,1413,156
2024-05-20,강남,1213,124
2024-05-21,부산,1170,127
2024-05-22,강남,1202,105
2024-05-23,강남,1257,106
2024-05-24,부산,1093,108
2024-05-25,강남,1385,145
2024-05-26,부산,1499,139
2024-05-27,강남,1222,105
2024-05-28,강남,1158,109
2024-05-29,홍대,1095,94
2024-05-30,홍대,1120,121
2024-05-31,부산,1177,134
2024-06-01,홍대,1483,129
2024-06-02,부산,1418,135
2024-06-03,홍대,1095,99
2024-06-04,강남,1100,97
2024-06-05,부산,1033,108
2024-06-06,부산,1167,100
2024-06-07,강남,1110,96
2024-06-08,부산,1340,139
2024-06-09,부산,1276,110
2024-06-10,홍대,1189,116
2024-06-11,부산,1213,120
2024-06-12,강남,1027,114
2024-06-13,홍대,1012,100
2024-06-14,홍대,1021,93
2024-06-15,강남,1286,108
2024-06-16,강남,1388,143
2024-06-17,홍대,1011,94
2024-06-18,부산,897,106
2024-06-19,홍대,1021,118
2024-06-20,강남,1108,100
2024-06-21,홍대,938,108
2024-06-22,강남,1405,132
2024-06-23,홍대,1403,122
2024-06-24,부산,1000,112
2024-06-25,홍대,1001,85
2024-06-26,홍대,920,81
2024-06-27,강남,1036,87
2024-06-28,강남,1079,109
2024-06-29,강남,1317,120
2024-06-30,홍대,1352,116
2024-07-01,부산,1097,101
2024-07-02,강남,1051,124
2024-07-03,강남,1028,83
2024-07-04,홍대,964,95
2024-07-05,강남,1092,89
2024-07-06,부산,1428,158
2024-07-07,부산,1411,129
2024-07-08,강남,925,88
2024-07-09,강남,1022,90
2024-07-10,홍대,1060,96
2024-07-11,부산,961,90
2024-07-12,부산,911,94
2024-07-13,강남,1311,148
2024-07-14,홍대,1231,137
2024-07-15,부산,990,108
2024-07-16,부산,1059,115
2024-07-17,홍대,945,78
2024-07-18,홍대,1045,97
2024-07-19,부산,937,83
2024-07-20,부산,1235,111
2024-07-21,홍대,1283,141
2024-07-22,부산,908,81
2024-07-23,강남,816,95
2024-07-24,강남,903,104
2024-07-25,홍대,1038,83
2024-07-26,홍대,919,110
2024-07-27,홍대,1362,137
2024-07-28,강남,1160,124
2024-07-29,부산,1021,89
2024-07-30,강남,1007,90
2024-07-31,부산,896,105
2024-08-01,강남,861,79
2024-08-02,부산,806,89
2024-08-03,강남,1045,118
2024-08-04,홍대,1294,129
2024-08-05,강남,878,103
2024-08-06,부산,772,61
2024-08-07,강남,892,87
2024-08-08,강남,738,66
2024-08-09,강남,959,100
2024-08-10,홍대,1123,95
2024-08-11,강남,1168,120
2024-08-12,홍대,926,96
2024-08-13,홍대,847,81
2024-08-14,강남,865,105
2024-08-15,강남,765,63
2024-08-16,강남,828,100
2024-08-17,부산,1167,135
2024-08-18,강남,1120,105
2024-08-19,홍대,776,88
2024-08-20,강남,812,98
2024-08-21,부산,801,92
2024-08-22,강남,949,96
2024-08-23,부산,919,85
2024-08-24,부산,1102,122
2024-08-25,강남,1087,112
2024-08-26,홍대,839,79
2024-08-27,부산,878,99
2024-08-28,강남,845,65
2024-08-29,강남,888,81
2024-08-30,홍대,848,103
2024-08-31,부산,1138,132
2024-09-01,부산,1043,122
2024-09-02,강남,962,81
2024-09-03,강남,949,79
2024-09-04,홍대,805,62
2024-09-05,홍대,864,72
2024-09-06,부산,795,66
2024-09-07,부산,999,93
2024-09-08,강남,1141,122
2024-09-09,부산,685,80
2024-09-10,홍대,900,99
2024-09-11,홍대,819,99
2024-09-12,강남,698,75
2024-09-13,홍대,889,103
2024-09-14,홍대,1009,108
2024-09-15,홍대,1221,139
2024-09-16,홍대,939,105
2024-09-17,강남,682,84
2024-09-18,강남,880,94
2024-09-19,부산,931,105
2024-09-20,홍대,939,76
2024-09-21,부산,1049,105
2024-09-22,강남,1236,104
2024-09-23,강남,798,68
2024-09-24,강남,655,49
2024-09-25,강남,685,57
2024-09-26,강남,842,96
2024-09-27,강남,699,86
2024-09-28,강남,967,88
2024-09-29,홍대,1122,122
2024-09-30,부산,870,102
2024-10-01,강남,808,83
2024-10-02,홍대,696,63
2024-10-03,홍대,656,73
2024-10-04,부산,749,61
2024-10-05,강남,1183,102
2024-10-06,부산,987,106
2024-10-07,강남,931,76
2024-10-08,홍대,832,74
2024-10-09,홍대,747,55
2024-10-10,홍대,751,81
2024-10-11,홍대,841,94
2024-10-12,부산,1069,121
2024-10-13,강남,1145,129
2024-10-14,강남,908,95
2024-10-15,부산,816,87
2024-10-16,강남,912,75
2024-10-17,홍대,785,77
2024-10-18,강남,676,57
2024-10-19,홍대,1240,113
2024-10-20,부산,1183,137
2024-10-21,강남,716,88
2024-10-22,부산,721,57
2024-10-23,강남,838,70
2024-10-24,홍대,945,96
2024-10-25,부산,781,83
2024-10-26,강남,1256,116
2024-10-27,홍대,1121,117
2024-10-28,부산,798,71
2024-10-29,부산,828,101
2024-10-30,강남,947,91
2024-10-31,강남,780,82
2024-11-01,강남,977,109
2024-11-02,홍대,1226,141
2024-11-03,강남,1157,106
2024-11-04,부산,722,87
2024-11-05,부산,855,68
2024-11-06,강남,934,77
2024-11-07,강남,715,87
2024-11-08,부산,704,57
2024-11-09,홍대,1029,109
2024-11-10,강남,1169,126
2024-11-11,강남,718,59
2024-11-12,부산,964,104
2024-11-13,강남,844,77
2024-11-14,홍대,848,103
2024-11-15,부산,799,80
2024-11-16,강남,1298,119
2024-11-17,부산,1227,124
2024-11-18,강남,766,56
2024-11-19,강남,870,103
2024-11-20,강남,906,90
2024-11-21,홍대,785,83
2024-11-22,홍대,915,106
2024-11-23,부산,1153,117
2024-11-24,강남,1181,98
2024-11-25,강남,791,98
2024-11-26,홍대,916,85
2024-11-27,강남,909,90
2024-11-28,홍대,1013,89
2024-11-29,강남,799,67
2024-11-30,부산,1149,103
2024-12-01,강남,1315,136
2024-12-02,강남,807,94
2024-12-03,홍대,817,85
2024-12-04,강남,868,91
2024-12-05,강남,768,66
2024-12-06,홍대,869,103
2024-12-07,부산,1265,107
2024-12-08,부산,1334,119
2024-12-09,홍대,823,79
2024-12-10,홍대,923,98
2024-12-11,홍대,1051,118
2024-12-12,홍대,909,96
2024-12-13,홍대,895,85
2024-12-14,부산,1250,128
2024-12-15,부산,1242,128
2024-12-16,홍대,943,80
2024-12-17,강남,922,77
2024-12-18,홍대,1080,111
2024-12-19,강남,900,102
2024-12-20,홍대,870,95
2024-12-21,홍대,1344,135
2024-12-22,부산,1236,128
2024-12-23,강남,1101,117
2024-12-24,강남,952,95
2024-12-25,부산,958,81
2024-12-26,부산,890,85
2024-12-27,부산,958,94
2024-12-28,부산,1140,113
2024-12-29,강남,1382,139
2024-12-30,강남,1136,120
2024-12-31,홍대,945,113
