날짜,메뉴,카테고리,단가,수량
2025-01-08,녹차라떼,논커피,5000,1
2025-01-08,카푸치노,커피,4500,3
2025-01-08,치즈케이크,디저트,6500,3
2025-01-09,아메리카노,커피,3000,2
2025-01-09,딸기스무디,스무디,6000,1
2025-01-09,아메리카노,커피,3000,3
2025-01-09,카페라떼,커피,4000,2
2025-01-09,카페라떼,커피,4000,3
2025-01-09,아메리카노,커피,3000,3
2025-01-09,크로플,디저트,5500,1
2025-01-09,아메리카노,커피,3000,3
2025-01-09,카페라떼,커피,4000,1
2025-01-09,아메리카노,커피,3000,1
2025-01-09,카푸치노,커피,4500,1
2025-01-09,카페라떼,커피,4000,2
2025-01-09,카페라떼,커피,4000,1
2025-01-09,카페라떼,커피,4000,3
2025-01-09,아메리카노,커피,3000,3
2025-01-10,크로플,디저트,5500,1
2025-01-10,아메리카노,커피,3000,2
2025-01-10,카푸치노,커피,4500,2
2025-01-10,치즈케이크,디저트,6500,1
2025-01-10,카페라떼,커피,4000,2
2025-01-10,아메리카노,커피,3000,2
2025-01-10,아메리카노,커피,3000,3
2025-01-10,크로플,디저트,5500,3
2025-01-11,아메리카노,커피,3000,2
2025-01-11,아메리카노,커피,3000,1
2025-01-11,바닐라라떼,커피,4800,3
2025-01-11,아메리카노,커피,3000,2
2025-01-11,아메리카노,커피,3000,3
2025-01-11,카페라떼,커피,4000,3
2025-01-11,아메리카노,커피,3000,3
2025-01-11,아메리카노,커피,3000,1
2025-01-11,아메리카노,커피,3000,1
2025-01-11,녹차라떼,논커피,5000,1
2025-01-11,카페라떼,커피,4000,3
2025-01-11,아메리카노,커피,3000,3
2025-01-11,아메리카노,커피,3000,1
2025-01-11,카페라떼,커피,4000,3
2025-01-11,바닐라라떼,커피,4800,2
2025-01-12,아메리카노,커피,3000,3
2025-01-12,카페라떼,커피,4000,2
2025-01-12,카페라떼,커피,4000,3
2025-01-12,바닐라라떼,커피,4800,2
2025-01-12,카페라떼,커피,4000,1
2025-01-12,아메리카노,커피,3000,3
2025-01-12,크로플,디저트,5500,1
2025-01-12,아메리카노,커피,3000,1
2025-01-12,카푸치노,커피,4500,1
2025-01-12,치즈케이크,디저트,6500,1
2025-01-12,망고스무디,스무디,6000,2
2025-01-12,아메리카노,커피,3000,2
2025-01-13,바닐라라떼,커피,4800,3
2025-01-13,카푸치노,커피,4500,3
2025-01-13,딸기스무디,스무디,6000,2
2025-01-13,치즈케이크,디저트,6500,1
2025-01-13,치즈케이크,디저트,6500,1
2025-01-13,아메리카노,커피,3000,1
2025-01-13,초코라떼,논커피,5000,1
2025-01-13,아메리카노,커피,3000,3
2025-01-13,아메리카노,커피,3000,2
2025-01-13,아메리카노,커피,3000,3
2025-01-13,망고스무디,스무디,6000,3
2025-01-13,카푸치노,커피,4500,1
2025-01-14,바닐라라떼,커피,4800,2
2025-01-14,아메리카노,커피,3000,2
2025-01-14,초코라떼,논커피,5000,3
2025-01-14,크로플,디저트,5500,1
2025-01-14,초코라떼,논커피,5000,3
2025-01-14,녹차라떼,논커피,5000,3
2025-01-14,아메리카노,커피,3000,1
2025-01-14,치즈케이크,디저트,6500,3
2025-01-14,치즈케이크,디저트,6500,3
2025-01-15,딸기스무디,스무디,6000,3
2025-01-15,카푸치노,커피,4500,2
2025-01-15,아메리카노,커피,3000,2
2025-01-15,카페라떼,커피,4000,1
2025-01-15,망고스무디,스무디,6000,1
2025-01-15,녹차라떼,논커피,5000,3
2025-01-15,아메리카노,커피,3000,3
2025-01-15,망고스무디,스무디,6000,2
2025-01-16,치즈케이크,디저트,6500,1
2025-01-16,망고스무디,스무디,6000,1
2025-01-16,망고스무디,스무디,6000,1
2025-01-16,아메리카노,커피,3000,2
2025-01-16,딸기스무디,스무디,6000,2
2025-01-16,딸기스무디,스무디,6000,3
2025-01-16,딸기스무디,스무디,6000,2
2025-01-16,아메리카노,커피,3000,3
2025-01-16,아메리카노,커피,3000,1
2025-01-16,망고스무디,스무디,6000,1
2025-01-17,딸기스무디,스무디,6000,2
2025-01-17,카페라떼,커피,4000,1
2025-01-17,아메리카노,커피,3000,3
2025-01-17,아메리카노,커피,3000,2
2025-01-17,아메리카노,커피,3000,1
2025-01-17,크로플,디저트,5500,2
2025-01-17,카페라떼,커피,4000,3
2025-01-17,카페라떼,커피,4000,3
2025-01-17,카페라떼,커피,4000,1
2025-01-17,아메리카노,커피,3000,2
2025-01-17,아메리카노,커피,3000,2
2025-01-18,아메리카노,커피,3000,2
2025-01-18,카페라떼,커피,4000,2
2025-01-18,카페라떼,커피,4000,3
2025-01-18,아메리카노,커피,3000,3
2025-01-18,아메리카노,커피,3000,1
2025-01-18,녹차라떼,논커피,5000,1
2025-01-18,카푸치노,커피,4500,3
2025-01-18,녹차라떼,논커피,5000,3
2025-01-19,카페라떼,커피,4000,1
2025-01-19,치즈케이크,디저트,6500,2
2025-01-19,바닐라라떼,커피,4800,3
2025-01-19,딸기스무디,스무디,6000,3
2025-01-19,치즈케이크,디저트,6500,3
2025-01-19,카페라떼,커피,4000,2
2025-01-19,카페라떼,커피,4000,3
2025-01-19,아메리카노,커피,3000,1
2025-01-19,아메리카노,커피,3000,3
2025-01-19,치즈케이크,디저트,6500,3
2025-01-19,초코라떼,논커피,5000,1
2025-01-20,카페라떼,커피,4000,1
2025-01-20,카페라떼,커피,4000,1
2025-01-20,카페라떼,커피,4000,3
2025-01-20,바닐라라떼,커피,4800,2
2025-01-20,카페라떼,커피,4000,2
2025-01-20,녹차라떼,논커피,5000,3
2025-01-20,카페라떼,커피,4000,3
2025-01-20,아메리카노,커피,3000,1
2025-01-20,아메리카노,커피,3000,3
2025-01-20,바닐라라떼,커피,4800,2
2025-01-20,아메리카노,커피,3000,1
2025-01-20,녹차라떼,논커피,5000,1
2025-01-21,아메리카노,커피,3000,1
2025-01-21,아메리카노,커피,3000,2
2025-01-21,바닐라라떼,커피,4800,1
2025-01-21,카페라떼,커피,4000,3
2025-01-21,바닐라라떼,커피,4800,3
2025-01-21,녹차라떼,논커피,5000,2
2025-01-21,카페라떼,커피,4000,1
2025-01-21,바닐라라떼,커피,4800,1
2025-01-21,망고스무디,스무디,6000,1
2025-01-21,초코라떼,논커피,5000,1
2025-01-21,아메리카노,커피,3000,3
2025-01-22,아메리카노,커피,3000,1
2025-01-22,치즈케이크,디저트,6500,1
2025-01-22,카페라떼,커피,4000,2
2025-01-22,녹차라떼,논커피,5000,3
2025-01-22,바닐라라떼,커피,4800,2
2025-01-22,바닐라라떼,커피,4800,3
2025-01-22,망고스무디,스무디,6000,2
2025-01-22,딸기스무디,스무디,6000,3
2025-01-22,카페라떼,커피,4000,1
2025-01-22,초코라떼,논커피,5000,2
2025-01-22,카페라떼,커피,4000,1
2025-01-22,딸기스무디,스무디,6000,2
2025-01-22,초코라떼,논커피,5000,3
2025-01-22,카푸치노,커피,4500,1
2025-01-22,아메리카노,커피,3000,1
2025-01-23,아메리카노,커피,3000,2
2025-01-23,카페라떼,커피,4000,3
2025-01-23,아메리카노,커피,3000,1
2025-01-23,아메리카노,커피,3000,3
2025-01-23,아메리카노,커피,3000,1
2025-01-23,아메리카노,커피,3000,2
2025-01-23,카페라떼,커피,4000,2
2025-01-23,카페라떼,커피,4000,1
2025-01-23,딸기스무디,스무디,6000,2
2025-01-23,치즈케이크,디저트,6500,3
2025-01-23,치즈케이크,디저트,6500,1
2025-01-23,망고스무디,스무디,6000,3
2025-01-24,카페라떼,커피,4000,2
2025-01-24,아메리카노,커피,3000,2
2025-01-24,망고스무디,스무디,6000,2
2025-01-24,카푸치노,커피,4500,3
2025-01-24,카푸치노,커피,4500,3
2025-01-24,망고스무디,스무디,6000,2
2025-01-24,아메리카노,커피,3000,2
2025-01-24,카푸치노,커피,4500,2
2025-01-24,카페라떼,커피,4000,3
2025-01-24,딸기스무디,스무디,6000,3
2025-01-24,아메리카노,커피,3000,2
2025-01-24,치즈케이크,디저트,6500,3
2025-01-24,카푸치노,커피,4500,2
2025-01-24,바닐라라떼,커피,4800,3
2025-01-25,아메리카노,커피,3000,2
2025-01-25,아메리카노,커피,3000,2
2025-01-25,아메리카노,커피,3000,2
2025-01-25,카페라떼,커피,4000,1
2025-01-25,카페라떼,커피,4000,2
2025-01-25,초코라떼,논커피,5000,2
2025-01-25,아메리카노,커피,3000,2
2025-01-25,아메리카노,커피,3000,1
2025-01-26,아메리카노,커피,3000,3
2025-01-26,아메리카노,커피,3000,2
2025-01-26,아메리카노,커피,3000,1
2025-01-26,딸기스무디,스무디,6000,3
2025-01-26,아메리카노,커피,3000,1
2025-01-26,치즈케이크,디저트,6500,1
2025-01-26,딸기스무디,스무디,6000,3
2025-01-26,아메리카노,커피,3000,1
2025-01-26,카페라떼,커피,4000,1
2025-01-26,바닐라라떼,커피,4800,1
2025-01-26,카페라떼,커피,4000,2
2025-01-26,초코라떼,논커피,5000,1
2025-01-26,바닐라라떼,커피,4800,3
2025-01-26,녹차라떼,논커피,5000,1
2025-01-26,크로플,디저트,5500,1
2025-01-27,치즈케이크,디저트,6500,3
2025-01-27,녹차라떼,논커피,5000,2
2025-01-27,카페라떼,커피,4000,3
2025-01-27,아메리카노,커피,3000,3
2025-01-27,녹차라떼,논커피,5000,3
2025-01-27,아메리카노,커피,3000,3
2025-01-27,초코라떼,논커피,5000,3
2025-01-27,바닐라라떼,커피,4800,1
2025-01-28,카페라떼,커피,4000,2
2025-01-28,녹차라떼,논커피,5000,1
2025-01-28,카푸치노,커피,4500,2
2025-01-28,아메리카노,커피,3000,2
2025-01-28,딸기스무디,스무디,6000,1
2025-01-28,카페라떼,커피,4000,2
2025-01-28,바닐라라떼,커피,4800,2
2025-01-28,녹차라떼,논커피,5000,2
2025-02-01,초코라떼,논커피,5000,3
2025-02-01,아메리카노,커피,3000,3
2025-02-01,초코라떼,논커피,5000,2
2025-02-01,카페라떼,커피,4000,3
2025-02-01,바닐라라떼,커피,4800,2
2025-02-01,망고스무디,스무디,6000,1
2025-02-01,아메리카노,커피,3000,2
2025-02-01,아메리카노,커피,3000,2
2025-02-01,바닐라라떼,커피,4800,3
2025-02-01,카페라떼,커피,4000,1
2025-02-02,망고스무디,스무디,6000,1
2025-02-02,카푸치노,커피,4500,2
2025-02-02,딸기스무디,스무디,6000,2
2025-02-02,아메리카노,커피,3000,3
2025-02-02,녹차라떼,논커피,5000,2
2025-02-02,카푸치노,커피,4500,3
2025-02-02,치즈케이크,디저트,6500,1
2025-02-02,아메리카노,커피,3000,2
2025-02-02,카푸치노,커피,4500,1
2025-02-02,녹차라떼,논커피,5000,3
2025-02-02,녹차라떼,논커피,5000,2
2025-02-02,딸기스무디,스무디,6000,1
2025-02-02,아메리카노,커피,3000,2
2025-02-02,녹차라떼,논커피,5000,2
2025-02-02,녹차라떼,논커피,5000,2
2025-02-03,카푸치노,커피,4500,2
2025-02-03,카페라떼,커피,4000,3
2025-02-03,카푸치노,커피,4500,2
2025-02-03,녹차라떼,논커피,5000,2
2025-02-03,카페라떼,커피,4000,1
2025-02-03,아메리카노,커피,3000,1
2025-02-03,카페라떼,커피,4000,3
2025-02-03,카푸치노,커피,4500,3
2025-02-03,아메리카노,커피,3000,1
2025-02-03,초코라떼,논커피,5000,2
2025-02-03,초코라떼,논커피,5000,3
2025-02-03,바닐라라떼,커피,4800,1
2025-02-03,딸기스무디,스무디,6000,2
2025-02-03,아메리카노,커피,3000,1
2025-02-03,카페라떼,커피,4000,3
2025-02-04,아메리카노,커피,3000,1
2025-02-04,카푸치노,커피,4500,3
2025-02-04,치즈케이크,디저트,6500,3
2025-02-04,망고스무디,스무디,6000,2
2025-02-04,아메리카노,커피,3000,1
2025-02-04,바닐라라떼,커피,4800,2
2025-02-04,카페라떼,커피,4000,2
2025-02-04,아메리카노,커피,3000,1
2025-02-04,아메리카노,커피,3000,2
2025-02-04,아메리카노,커피,3000,1
2025-02-05,카푸치노,커피,4500,3
2025-02-05,바닐라라떼,커피,4800,1
2025-02-05,아메리카노,커피,3000,3
2025-02-05,치즈케이크,디저트,6500,1
2025-02-05,크로플,디저트,5500,1
2025-02-05,카푸치노,커피,4500,2
2025-02-05,바닐라라떼,커피,4800,3
2025-02-05,아메리카노,커피,3000,3
2025-02-05,카페라떼,커피,4000,2
2025-02-05,아메리카노,커피,3000,3
2025-02-05,크로플,디저트,5500,2
2025-02-05,바닐라라떼,커피,4800,1
2025-02-05,바닐라라떼,커피,4800,3
2025-02-05,아메리카노,커피,3000,1
2025-02-06,아메리카노,커피,3000,1
2025-02-06,아메리카노,커피,3000,1
2025-02-06,카푸치노,커피,4500,1
2025-02-06,아메리카노,커피,3000,2
2025-02-06,녹차라떼,논커피,5000,2
2025-02-06,아메리카노,커피,3000,1
2025-02-06,아메리카노,커피,3000,2
2025-02-06,녹차라떼,논커피,5000,2
2025-02-06,아메리카노,커피,3000,1
2025-02-06,치즈케이크,디저트,6500,3
2025-02-06,바닐라라떼,커피,4800,1
2025-02-07,아메리카노,커피,3000,1
2025-02-07,바닐라라떼,커피,4800,2
2025-02-07,딸기스무디,스무디,6000,1
2025-02-07,아메리카노,커피,3000,2
2025-02-07,바닐라라떼,커피,4800,3
2025-02-07,치즈케이크,디저트,6500,2
2025-02-07,아메리카노,커피,3000,3
2025-02-07,카페라떼,커피,4000,2
2025-02-07,치즈케이크,디저트,6500,3
2025-02-07,카푸치노,커피,4500,2
2025-02-07,아메리카노,커피,3000,1
2025-02-07,망고스무디,스무디,6000,3
2025-02-07,카페라떼,커피,4000,2
2025-02-07,아메리카노,커피,3000,1
2025-02-08,크로플,디저트,5500,3
2025-02-08,딸기스무디,스무디,6000,3
2025-02-08,아메리카노,커피,3000,1
2025-02-08,카페라떼,커피,4000,3
2025-02-08,카페라떼,커피,4000,2
2025-02-08,아메리카노,커피,3000,3
2025-02-08,카페라떼,커피,4000,2
2025-02-08,크로플,디저트,5500,2
2025-02-09,카페라떼,커피,4000,2
2025-02-09,녹차라떼,논커피,5000,1
2025-02-09,카페라떼,커피,4000,3
2025-02-09,카푸치노,커피,4500,3
2025-02-09,치즈케이크,디저트,6500,3
2025-02-09,아메리카노,커피,3000,1
2025-02-09,카페라떼,커피,4000,2
2025-02-09,아메리카노,커피,3000,2
2025-02-09,망고스무디,스무디,6000,1
2025-02-09,바닐라라떼,커피,4800,3
2025-02-09,카페라떼,커피,4000,1
2025-02-09,아메리카노,커피,3000,2
2025-02-09,바닐라라떼,커피,4800,2
2025-02-10,초코라떼,논커피,5000,1
2025-02-10,아메리카노,커피,3000,1
2025-02-10,치즈케이크,디저트,6500,2
2025-02-10,망고스무디,스무디,6000,2
2025-02-10,아메리카노,커피,3000,3
2025-02-10,바닐라라떼,커피,4800,1
2025-02-10,녹차라떼,논커피,5000,2
2025-02-10,카푸치노,커피,4500,3
2025-02-10,카페라떼,커피,4000,1
2025-02-10,크로플,디저트,5500,1
2025-02-10,카페라떼,커피,4000,1
2025-02-10,바닐라라떼,커피,4800,1
2025-02-10,카푸치노,커피,4500,3
2025-02-10,아메리카노,커피,3000,3
2025-02-10,아메리카노,커피,3000,2
2025-02-11,아메리카노,커피,3000,3
2025-02-11,아메리카노,커피,3000,1
2025-02-11,치즈케이크,디저트,6500,3
2025-02-11,초코라떼,논커피,5000,1
2025-02-11,망고스무디,스무디,6000,2
2025-02-11,초코라떼,논커피,5000,2
2025-02-11,카페라떼,커피,4000,3
2025-02-11,아메리카노,커피,3000,1
2025-02-11,아메리카노,커피,3000,2
2025-02-11,딸기스무디,스무디,6000,3
2025-02-11,크로플,디저트,5500,2
2025-02-11,망고스무디,스무디,6000,2
2025-02-11,카푸치노,커피,4500,2
2025-02-11,카페라떼,커피,4000,3
2025-02-11,카페라떼,커피,4000,2
2025-02-12,크로플,디저트,5500,1
2025-02-12,바닐라라떼,커피,4800,1
2025-02-12,망고스무디,스무디,6000,2
2025-02-12,아메리카노,커피,3000,3
2025-02-12,카페라떼,커피,4000,2
2025-02-12,카페라떼,커피,4000,3
2025-02-12,딸기스무디,스무디,6000,3
2025-02-12,크로플,디저트,5500,2
2025-02-12,크로플,디저트,5500,1
2025-02-12,카푸치노,커피,4500,3
2025-02-12,카페라떼,커피,4000,1
2025-02-13,아메리카노,커피,3000,2
2025-02-13,아메리카노,커피,3000,1
2025-02-13,카페라떼,커피,4000,3
2025-02-13,크로플,디저트,5500,1
2025-02-13,카페라떼,커피,4000,2
2025-02-13,카페라떼,커피,4000,3
2025-02-13,카페라떼,커피,4000,1
2025-02-13,망고스무디,스무디,6000,3
2025-02-13,망고스무디,스무디,6000,2
2025-02-13,크로플,디저트,5500,3
2025-02-13,녹차라떼,논커피,5000,2
2025-02-13,망고스무디,스무디,6000,1
2025-02-13,바닐라라떼,커피,4800,1
2025-02-13,바닐라라떼,커피,4800,2
2025-02-13,크로플,디저트,5500,3
2025-02-14,카페라떼,커피,4000,1
2025-02-14,초코라떼,논커피,5000,3
2025-02-14,망고스무디,스무디,6000,2
2025-02-14,아메리카노,커피,3000,2
2025-02-14,치즈케이크,디저트,6500,1
2025-02-14,카페라떼,커피,4000,1
2025-02-14,아메리카노,커피,3000,2
2025-02-14,카페라떼,커피,4000,1
2025-02-14,카푸치노,커피,4500,3
2025-02-15,아메리카노,커피,3000,1
2025-02-15,바닐라라떼,커피,4800,2
2025-02-15,바닐라라떼,커피,4800,1
2025-02-15,카푸치노,커피,4500,3
2025-02-15,아메리카노,커피,3000,2
2025-02-15,바닐라라떼,커피,4800,2
2025-02-15,아메리카노,커피,3000,1
2025-02-15,망고스무디,스무디,6000,2
2025-02-15,치즈케이크,디저트,6500,3
2025-02-15,카푸치노,커피,4500,1
2025-02-16,치즈케이크,디저트,6500,3
2025-02-16,아메리카노,커피,3000,2
2025-02-16,녹차라떼,논커피,5000,2
2025-02-16,딸기스무디,스무디,6000,1
2025-02-16,크로플,디저트,5500,2
2025-02-16,아메리카노,커피,3000,2
2025-02-16,바닐라라떼,커피,4800,3
2025-02-16,아메리카노,커피,3000,3
2025-02-16,아메리카노,커피,3000,3
2025-02-16,카페라떼,커피,4000,1
2025-02-16,바닐라라떼,커피,4800,3
2025-02-16,초코라떼,논커피,5000,1
2025-02-16,치즈케이크,디저트,6500,3
2025-02-16,카푸치노,커피,4500,2
2025-02-16,초코라떼,논커피,5000,1
2025-02-17,아메리카노,커피,3000,1
2025-02-17,바닐라라떼,커피,4800,3
2025-02-17,초코라떼,논커피,5000,3
2025-02-17,녹차라떼,논커피,5000,1
2025-02-17,바닐라라떼,커피,4800,3
2025-02-17,바닐라라떼,커피,4800,2
2025-02-17,딸기스무디,스무디,6000,1
2025-02-17,바닐라라떼,커피,4800,3
2025-02-17,아메리카노,커피,3000,2
2025-02-17,카페라떼,커피,4000,2
2025-02-17,아메리카노,커피,3000,1
2025-02-17,딸기스무디,스무디,6000,2
2025-02-17,카푸치노,커피,4500,2
2025-02-18,아메리카노,커피,3000,2
2025-02-18,크로플,디저트,5500,2
2025-02-18,초코라떼,논커피,5000,2
2025-02-18,딸기스무디,스무디,6000,2
2025-02-18,크로플,디저트,5500,1
2025-02-18,초코라떼,논커피,5000,1
2025-02-18,망고스무디,스무디,6000,3
2025-02-18,녹차라떼,논커피,5000,2
2025-02-18,크로플,디저트,5500,3
2025-02-18,카페라떼,커피,4000,2
2025-02-19,아메리카노,커피,3000,1
2025-02-19,카페라떼,커피,4000,3
2025-02-19,초코라떼,논커피,5000,2
2025-02-19,바닐라라떼,커피,4800,3
2025-02-19,치즈케이크,디저트,6500,1
2025-02-19,녹차라떼,논커피,5000,2
2025-02-19,아메리카노,커피,3000,3
2025-02-19,카페라떼,커피,4000,3
2025-02-20,바닐라라떼,커피,4800,3
2025-02-20,딸기스무디,스무디,6000,3
2025-02-20,카페라떼,커피,4000,2
2025-02-20,아메리카노,커피,3000,1
2025-02-20,치즈케이크,디저트,6500,2
2025-02-20,크로플,디저트,5500,1
2025-02-20,아메리카노,커피,3000,3
2025-02-20,아메리카노,커피,3000,2
2025-02-20,카페라떼,커피,4000,3
2025-02-20,녹차라떼,논커피,5000,3
2025-02-20,카페라떼,커피,4000,3
2025-02-21,망고스무디,스무디,6000,3
2025-02-21,아메리카노,커피,3000,2
2025-02-21,바닐라라떼,커피,4800,2
2025-02-21,아메리카노,커피,3000,2
2025-02-21,아메리카노,커피,3000,2
2025-02-21,크로플,디저트,5500,2
2025-02-21,아메리카노,커피,3000,3
2025-02-21,카페라떼,커피,4000,3
2025-02-21,카페라떼,커피,4000,2
2025-02-21,아메리카노,커피,3000,1
2025-02-22,아메리카노,커피,3000,1
2025-02-22,바닐라라떼,커피,4800,3
2025-02-22,크로플,디저트,5500,1
2025-02-22,딸기스무디,스무디,6000,1
2025-02-22,크로플,디저트,5500,3
2025-02-22,아메리카노,커피,3000,3
2025-02-22,아메리카노,커피,3000,1
2025-02-22,딸기스무디,스무디,6000,1
2025-02-22,카페라떼,커피,4000,1
2025-02-22,딸기스무디,스무디,6000,3
2025-02-22,아메리카노,커피,3000,1
2025-02-22,크로플,디저트,5500,3
2025-02-22,아메리카노,커피,3000,1
2025-02-22,아메리카노,커피,3000,1
2025-02-22,아메리카노,커피,3000,2
2025-02-23,바닐라라떼,커피,4800,1
2025-02-23,아메리카노,커피,3000,1
2025-02-23,아메리카노,커피,3000,2
2025-02-23,카푸치노,커피,4500,3
2025-02-23,아메리카노,커피,3000,2
2025-02-23,초코라떼,논커피,5000,3
2025-02-23,바닐라라떼,커피,4800,2
2025-02-23,카푸치노,커피,4500,3
2025-02-23,아메리카노,커피,3000,3
2025-02-23,카푸치노,커피,4500,2
2025-02-23,바닐라라떼,커피,4800,1
2025-02-24,크로플,디저트,5500,2
2025-02-24,카페라떼,커피,4000,1
2025-02-24,카푸치노,커피,4500,2
2025-02-24,아메리카노,커피,3000,1
2025-02-24,카페라떼,커피,4000,1
2025-02-24,아메리카노,커피,3000,2
2025-02-24,바닐라라떼,커피,4800,3
2025-02-24,카푸치노,커피,4500,2
2025-02-25,크로플,디저트,5500,3
2025-02-25,아메리카노,커피,3000,3
2025-02-25,바닐라라떼,커피,4800,1
2025-02-25,딸기스무디,스무디,6000,1
2025-02-25,망고스무디,스무디,6000,3
2025-02-25,망고스무디,스무디,6000,3
2025-02-25,초코라떼,논커피,5000,1
2025-02-25,카페라떼,커피,4000,1
2025-02-25,카페라떼,커피,4000,2
2025-02-25,카페라떼,커피,4000,3
2025-02-25,아메리카노,커피,3000,2
2025-02-25,카페라떼,커피,4000,2
2025-02-25,카페라떼,커피,4000,1
2025-02-25,녹차라떼,논커피,5000,2
2025-02-26,아메리카노,커피,3000,1
2025-02-26,아메리카노,커피,3000,1
2025-02-26,초코라떼,논커피,5000,2
2025-02-26,딸기스무디,스무디,6000,3
2025-02-26,아메리카노,커피,3000,3
2025-02-26,바닐라라떼,커피,4800,3
2025-02-26,아메리카노,커피,3000,2
2025-02-26,망고스무디,스무디,6000,2
2025-02-26,망고스무디,스무디,6000,3
2025-02-27,크로플,디저트,5500,3
2025-02-27,카페라떼,커피,4000,1
2025-02-27,바닐라라떼,커피,4800,1
2025-02-27,아메리카노,커피,3000,2
2025-02-27,아메리카노,커피,3000,1
2025-02-27,카페라떼,커피,4000,3
2025-02-27,카페라떼,커피,4000,2
2025-02-27,바닐라라떼,커피,4800,2
2025-02-28,바닐라라떼,커피,4800,3
2025-02-28,딸기스무디,스무디,6000,2
2025-02-28,아메리카노,커피,3000,2
2025-02-28,녹차라떼,논커피,5000,2
2025-02-28,치즈케이크,디저트,6500,2
2025-02-28,아메리카노,커피,3000,1
2025-02-28,바닐라라떼,커피,4800,2
